Threshold,Nth_Nearest_Distance,Point,Exec_Time,MAE,Estimation
0, 0, "0.28597753982688046, 0.364493944788565, 0.7805406582919745", 5.005597352981567, 1, 0
0, 0, "0.9099881791862772, 0.334590107447466, 0.00581262535153082", 5.005089998245239, 1, 0
0.18227849960327147, 0.7797469712328751, "0.8766371975490526, 0.015155874010591375, 0.4102847735426677", 5.003258943557739, 0, 0
0.6394194793701172, 0.7169364267989695, "0.343818146482462, 0.1262485282395469, 0.39316662431447624", 5.003006458282471, 0, 0
0.3234391784667969, 0.9595511268415732, "0.1995319426668516, 0.5137362830162494, 0.8725448892671301", 5.002542972564697, 0, 0
0.29177581787109375, 0.6044826258316747, "0.44046561060055633, 0.026255387736297764, 0.30396185112134055", 5.003331422805786, 0, 0
0.7897471618652344, 0.6099402159770978, "0.04112674553214701, 0.43480170353900605, 0.8235152282038646", 0.0005626678466796875, 1.2513903840144611, 1
0.29422786712646487, 0.5094722775739506, "0.4645281650341577, 0.11454278369048532, 0.11853597127140991", 5.005263805389404, 0, 0
0.292970142364502, 0.8915204907592604, "0.5934819193903974, 0.9485063656232765, 0.15574540621878974", 5.003523349761963, 0, 0
0.27814905166625975, 0.4428495647482703, "0.48136400468449003, 0.3990875367245712, 0.713722000713171", 5.005613803863525, 0, 0
0.28980445861816406, 0.5321528489119418, "0.8553018643222978, 0.29493206744866696, 0.5336604267442687", 5.005314111709595, 0, 0
0.6380756759643554, 0.19414915883444023, "0.30876751265294566, 0.4698137198185054, 0.7675936429703831", 0.0004906654357910156, 1.0340835796121168, 1
0.29433265686035154, 0.1912591380841157, "0.3301931502285267, 0.5505647869253016, 0.7821775468081241", 0.00046253204345703125, 1.0340835796121168, 1
0.27622730255126954, 0.25738424126984005, "0.5573154214685909, 0.47624940657365344, 0.7010416586768209", 0.0005242824554443359, 1.0340835796121168, 1
0.6684701538085938, 0.4093142563993584, "0.0025574533796807186, 0.665744308840948, 0.9988032340509209", 0.0004687309265136719, 1.0340835796121168, 1
0.29156005859375, 0.7248746994532996, "0.955651290464275, 0.9680011005117097, 0.7833572543184676", 5.005553960800171, 0, 0
0.15017997741699218, 0.47293759076128744, "0.9998789630630927, 0.27838166752036597, 0.08366763620535489", 5.004787921905518, 0, 0
0.24948169708251952, 0.4528344755621626, "0.5803608476029075, 0.9180534926619449, 0.6959961299941387", 5.005735635757446, 0, 0
0.2820890235900879, 0.7530805763387988, "0.41407261663454886, 0.9731667356372089, 0.15360671149277794", 5.0048723220825195, 0, 0
0.2874422836303711, 0.4410629855074565, "0.6426823094610357, 0.9859396253409088, 0.2646678726697307", 5.005598783493042, 0, 0
0.2871254348754883, 0.3781481368420169, "0.3360894347392698, 0.15438536853706764, 0.9627444125733383", 5.004504919052124, 0, 0
